valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Cloud_Cover_Mean_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude
21-05-1979,3.5704556,308.9036,302.54327,296.0119,0.42363018,70.87837,19.459316,0,7.3944182,2.41E+07,15.714578,42.896927,13.8,77.6
22-05-1979,3.435579,308.53513,302.16742,296.02347,0.16155343,84.13813,20.15542,0,7.552607,2.65E+07,15.517623,41.917168,13.8,77.6
23-05-1979,2.8908298,308.60016,302.34393,295.19702,0.13758206,62.609646,20.792358,0,7.089607,2.57E+07,14.246733,43.394234,13.8,77.6
24-05-1979,1.6202707,309.00262,302.88428,296.40204,0.30293363,73.37269,17.933638,0,5.82309,2.37E+07,15.226977,43.704296,13.8,77.6
25-05-1979,2.7738943,309.4826,302.66092,296.6353,0.23653342,68.30278,18.945702,0,7.307211,2.64E+07,13.473177,47.029602,13.8,77.6
26-05-1979,2.7495627,308.5204,302.4348,296.7465,0.6857176,66.39305,21.19584,0,7.097245,2.60E+07,13.936603,43.45153,13.8,77.6
27-05-1979,2.174665,309.04623,301.80615,297.07944,0.2754652,69.009026,25.536268,1.91,6.317258,2.43E+07,17.996601,41.076,13.8,77.6
28-05-1979,1.8408715,308.67776,302.45883,295.8342,0.33670565,77.937355,24.262684,0.21,5.919709,2.37E+07,16.683054,41.204803,13.8,77.6
29-05-1979,2.2989182,308.01688,301.75528,297.35834,0.6305376,81.834404,29.977345,1.3,5.9384575,2.27E+07,20.8982,34.916245,13.8,77.6
30-05-1979,2.1762497,308.7199,301.56665,297.0844,0.5519831,78.445,29.279045,1.4,6.069525,2.35E+07,21.024635,36.99767,13.8,77.6
31-05-1979,2.0513384,308.39575,300.25314,295.35477,0.54770696,84.44157,37.99968,11.02,5.6793213,2.28E+07,21.976166,35.018894,13.8,77.6
01-06-1979,1.8281745,305.66354,299.4345,295.26196,0.6072679,84.03698,44.985962,11.58,5.323175,2.34E+07,22.42363,26.52148,13.8,77.6
02-06-1979,2.1979337,306.8547,300.05112,295.33224,0.33932978,90.03354,42.077168,6.04,5.8211775,2.49E+07,23.129505,29.194756,13.8,77.6
03-06-1979,2.0349827,307.38052,301.05023,295.29166,0.2255061,88.67745,36.30626,0.13,5.8728313,2.46E+07,20.85369,33.02549,13.8,77.6
04-06-1979,2.9151103,308.7489,302.0975,296.4082,0.27497336,84.98029,32.275322,0.47,6.7132263,2.55E+07,21.489388,36.62556,13.8,77.6
05-06-1979,4.078699,308.4779,300.69974,295.71548,0.4772904,85.3214,32.886406,6.08,7.119403,2.44E+07,21.994276,35.259605,13.8,77.6
06-06-1979,3.393256,307.7188,300.48303,295.197,0.5708828,91.17177,34.92615,1.27,6.635225,2.53E+07,21.613462,33.287132,13.8,77.6
